原始要素ID,DIKUAI_ID,核心地块编号,几何类型,坐标系,面积（平方米）,最小经度,最大经度,最小纬度,最大纬度,完整GeoJSON坐标
2687,DIKUAI_2023_2809,2809,Polygon,EPSG:4326 (WGS84经纬度),13149.22,118.764282,118.765768,32.063099,32.064336,"[[[118.765098, 32.064333], [118.765121, 32.064327], [118.765747, 32.064186], [118.765754, 32.06418], [118.765759, 32.064174], [118.765764, 32.064166], [118.765766, 32.064159], [118.765768, 32.064151], [118.765767, 32.064143], [118.765766, 32.064135], [118.765763, 32.064128], [118.765758, 32.064121], [118.765752, 32.064115], [118.76456, 32.063116], [118.764545, 32.063108], [118.764529, 32.063103], [118.764512, 32.0631], [118.764494, 32.063099], [118.764477, 32.063101], [118.76446, 32.063106], [118.764445, 32.063113], [118.764431, 32.063122], [118.764419, 32.063133], [118.764295, 32.063447], [118.764284, 32.063501], [118.764282, 32.063556], [118.764287, 32.063611], [118.764301, 32.063665], [118.764322, 32.063717], [118.764351, 32.063767], [118.764387, 32.063813], [118.764437, 32.063858], [118.764979, 32.064319], [118.765001, 32.064328], [118.765025, 32.064334], [118.765049, 32.064336], [118.765073, 32.064336], [118.765098, 32.064333]]]"
2688,DIKUAI_2023_2810,2810,Polygon,EPSG:4326 (WGS84经纬度),17479.18,118.770947,118.772704,32.067107,32.068635,"[[[118.77237, 32.06824], [118.772495, 32.068039], [118.772564, 32.067911], [118.772579, 32.067884], [118.77263, 32.067789], [118.772646, 32.06776], [118.772662, 32.067732], [118.772704, 32.067655], [118.772656, 32.067612], [118.772577, 32.06757], [118.772518, 32.067518], [118.772386, 32.067414], [118.772281, 32.067324], [118.772265, 32.067337], [118.772051, 32.067162], [118.771986, 32.067107], [118.771593, 32.067448], [118.771682, 32.06752], [118.771657, 32.067542], [118.771675, 32.067556], [118.771655, 32.067575], [118.771673, 32.067589], [118.771683, 32.067577], [118.771752, 32.067636], [118.771744, 32.067643], [118.771732, 32.067641], [118.771719, 32.067676], [118.771732, 32.067685], [118.77173, 32.067694], [118.771767, 32.067724], [118.771756, 32.067734], [118.771817, 32.067777], [118.771823, 32.067771], [118.77187, 32.067809], [118.771713, 32.067793], [118.771707, 32.067833], [118.771707, 32.067838], [118.771677, 32.068075], [118.771671, 32.06813], [118.77132, 32.068101], [118.771317, 32.068117], [118.771312, 32.068141], [118.771225, 32.068133], [118.771197, 32.068226], [118.771019, 32.068214], [118.771007, 32.068255], [118.770988, 32.06826], [118.770968, 32.068322], [118.770967, 32.068323], [118.770947, 32.068385], [118.771142, 32.068434], [118.771819, 32.068535], [118.771806, 32.068592], [118.77204, 32.068635], [118.772064, 32.068599], [118.772032, 32.068583], [118.772201, 32.068365], [118.772335, 32.06824], [118.77237, 32.06824]]]"
2689,DIKUAI_2023_2811,2811,Polygon,EPSG:4326 (WGS84经纬度),5840.94,118.772032,118.773042,32.06776,32.068783,"[[[118.772315, 32.068783], [118.772352, 32.068732], [118.772752, 32.068326], [118.773042, 32.068052], [118.772646, 32.06776], [118.772564, 32.067911], [118.772547, 32.067943], [118.772495, 32.068039], [118.77237, 32.06824], [118.772335, 32.06824], [118.772201, 32.068365], [118.772032, 32.068583], [118.772064, 32.068599], [118.77204, 32.068635], [118.772315, 32.068783]]]"
2690,DIKUAI_2023_2812,2812,Polygon,EPSG:4326 (WGS84经纬度),22500.06,118.759275,118.761828,32.06056,32.061558,"[[[118.759351, 32.061557], [118.759358, 32.061556], [118.75965, 32.061513], [118.76015, 32.061429], [118.760622, 32.061352], [118.761204, 32.061257], [118.761755, 32.061166], [118.761772, 32.061159], [118.761788, 32.06115], [118.761801, 32.061139], [118.761812, 32.061126], [118.76182, 32.061111], [118.761826, 32.061096], [118.761828, 32.06108], [118.761828, 32.061064], [118.761746, 32.060705], [118.761725, 32.060608], [118.761716, 32.060598], [118.761707, 32.060589], [118.761683, 32.060568], [118.761678, 32.060565], [118.761673, 32.060563], [118.761668, 32.060561], [118.761662, 32.06056], [118.761656, 32.06056], [118.761651, 32.06056], [118.761339, 32.060617], [118.760752, 32.060713], [118.760262, 32.060793], [118.759756, 32.060875], [118.759364, 32.060934], [118.759308, 32.060938], [118.759299, 32.060943], [118.759291, 32.060948], [118.759284, 32.060955], [118.759279, 32.060963], [118.759275, 32.060971], [118.759287, 32.061234], [118.759305, 32.061539], [118.759309, 32.061544], [118.759315, 32.061548], [118.759321, 32.061552], [118.759328, 32.061555], [118.759336, 32.061557], [118.759343, 32.061558], [118.759351, 32.061557]]]"
2691,DIKUAI_2023_2813,2813,Polygon,EPSG:4326 (WGS84经纬度),773.33,118.776496,118.776797,32.07032,32.070571,"[[[118.776717, 32.070571], [118.776797, 32.070361], [118.776544, 32.07032], [118.776496, 32.070536], [118.776717, 32.070571]]]"
2692,DIKUAI_2023_2814,2814,Polygon,EPSG:4326 (WGS84经纬度),4963.2,118.765193,118.76615,32.064271,32.064952,"[[[118.76608, 32.064952], [118.766092, 32.064888], [118.766135, 32.06459], [118.766145, 32.064484], [118.76615, 32.064415], [118.766144, 32.064331], [118.76614, 32.06432], [118.766135, 32.064309], [118.766127, 32.0643], [118.766118, 32.064291], [118.766108, 32.064284], [118.766096, 32.064278], [118.766083, 32.064274], [118.76607, 32.064272], [118.766056, 32.064271], [118.766043, 32.064273], [118.76577, 32.064315], [118.765635, 32.06434], [118.765502, 32.06437], [118.765376, 32.064397], [118.765319, 32.064422], [118.765287, 32.064438], [118.765242, 32.064466], [118.765225, 32.064482], [118.765195, 32.06451], [118.765194, 32.064516], [118.765193, 32.06452], [118.765493, 32.064777], [118.765696, 32.064604], [118.765858, 32.064688], [118.76608, 32.064952]]]"
2693,DIKUAI_2023_2815,2815,Polygon,EPSG:4326 (WGS84经纬度),8989.49,118.767671,118.770649,32.066283,32.066622,"[[[118.769846, 32.066622], [118.769851, 32.066525], [118.769991, 32.06653], [118.770075, 32.066504], [118.770466, 32.06655], [118.770477, 32.066479], [118.770639, 32.066498], [118.770649, 32.066446], [118.770251, 32.066399], [118.770118, 32.066388], [118.769253, 32.066358], [118.768689, 32.066331], [118.768385, 32.066315], [118.768041, 32.066297], [118.767774, 32.066283], [118.767715, 32.066321], [118.76769, 32.066381], [118.767671, 32.066552], [118.767881, 32.066566], [118.767893, 32.066462], [118.768055, 32.066472], [118.768055, 32.066555], [118.769512, 32.066609], [118.769636, 32.066613], [118.769846, 32.066622]]]"
2694,DIKUAI_2023_2816,2816,Polygon,EPSG:4326 (WGS84经纬度),10243.34,118.759228,118.760236,32.06006,32.060903,"[[[118.759298, 32.060903], [118.759365, 32.060901], [118.759405, 32.060898], [118.759456, 32.060892], [118.759577, 32.060872], [118.759702, 32.060851], [118.759846, 32.060828], [118.760004, 32.060802], [118.760178, 32.060775], [118.760236, 32.060765], [118.760162, 32.060159], [118.760099, 32.060153], [118.759989, 32.060143], [118.759813, 32.060118], [118.759568, 32.060093], [118.759315, 32.060063], [118.759273, 32.06006], [118.759251, 32.060061], [118.759238, 32.060065], [118.759232, 32.060068], [118.75923, 32.060072], [118.759228, 32.060076], [118.759268, 32.060896], [118.759276, 32.060902], [118.759298, 32.060903]]]"
2695,DIKUAI_2023_2817,2817,Polygon,EPSG:4326 (WGS84经纬度),938.48,118.775362,118.775518,32.069718,32.070178,"[[[118.775494, 32.070178], [118.775518, 32.069724], [118.775362, 32.069718], [118.775362, 32.069813], [118.77537, 32.070173], [118.775494, 32.070178]]]"
2696,DIKUAI_2023_2818,2818,Polygon,EPSG:4326 (WGS84经纬度),16843.31,118.775494,118.776858,32.069724,32.071139,"[[[118.776029, 32.071139], [118.776039, 32.07096], [118.776449, 32.070977], [118.776457, 32.070821], [118.776664, 32.07083], [118.776664, 32.070827], [118.776688, 32.070651], [118.77671, 32.07059], [118.776717, 32.070571], [118.776496, 32.070536], [118.776544, 32.07032], [118.776797, 32.070361], [118.776801, 32.07035], [118.776812, 32.070308], [118.776832, 32.070043], [118.776858, 32.069865], [118.775518, 32.069724], [118.775494, 32.070178], [118.775882, 32.070193], [118.775833, 32.071131], [118.776029, 32.071139]]]"
2697,DIKUAI_2023_2819,2819,Polygon,EPSG:4326 (WGS84经纬度),20787.13,118.768055,118.770639,32.066479,32.067557,"[[[118.770427, 32.067557], [118.770533, 32.067344], [118.770485, 32.067306], [118.77055, 32.066921], [118.770573, 32.066813], [118.770576, 32.066795], [118.770588, 32.066757], [118.770594, 32.066721], [118.7706, 32.066722], [118.770639, 32.066498], [118.770477, 32.066479], [118.770466, 32.06655], [118.770075, 32.066504], [118.769991, 32.06653], [118.769851, 32.066525], [118.769846, 32.066622], [118.769512, 32.066609], [118.768055, 32.066555], [118.768055, 32.066785], [118.768372, 32.066847], [118.768445, 32.066889], [118.768444, 32.066897], [118.768448, 32.066899], [118.768438, 32.066941], [118.768419, 32.067087], [118.76868, 32.0671], [118.76868, 32.067114], [118.769697, 32.067183], [118.769716, 32.067199], [118.769818, 32.067111], [118.769844, 32.067094], [118.770095, 32.067178], [118.770229, 32.067285], [118.770218, 32.067377], [118.770328, 32.067453], [118.770398, 32.067537], [118.770427, 32.067557]]]"
2698,DIKUAI_2023_2820,2820,Polygon,EPSG:4326 (WGS84经纬度),2495.13,118.770955,118.771707,32.067721,32.06813,"[[[118.771671, 32.06813], [118.771677, 32.068075], [118.771687, 32.067984], [118.771707, 32.067838], [118.771707, 32.067833], [118.771688, 32.067831], [118.771682, 32.067888], [118.771576, 32.067878], [118.771563, 32.067869], [118.771486, 32.067829], [118.771462, 32.067816], [118.771421, 32.067796], [118.771336, 32.067751], [118.771324, 32.067745], [118.771279, 32.067721], [118.770955, 32.068002], [118.771024, 32.068011], [118.771328, 32.068055], [118.77132, 32.068101], [118.771671, 32.06813]]]"
2699,DIKUAI_2023_2821,2821,Polygon,EPSG:4326 (WGS84经纬度),628.99,118.765493,118.765858,32.064604,32.064864,"[[[118.765596, 32.064864], [118.765858, 32.064688], [118.765696, 32.064604], [118.765493, 32.064777], [118.765563, 32.064836], [118.765596, 32.064864]]]"
2700,DIKUAI_2023_2822,2822,Polygon,EPSG:4326 (WGS84经纬度),569.13,118.763929,118.764141,32.063582,32.063821,"[[[118.764113, 32.063807], [118.764118, 32.063802], [118.764126, 32.063794], [118.764132, 32.063785], [118.764137, 32.063775], [118.76414, 32.063765], [118.764141, 32.063754], [118.76414, 32.063728], [118.764134, 32.063702], [118.764119, 32.063653], [118.764113, 32.063637], [118.764103, 32.063623], [118.764092, 32.063609], [118.76408, 32.063599], [118.764066, 32.063589], [118.764059, 32.063586], [118.764052, 32.063583], [118.764044, 32.063582], [118.764036, 32.063582], [118.764028, 32.063582], [118.764009, 32.063587], [118.76399, 32.063595], [118.763974, 32.063605], [118.76396, 32.063616], [118.76395, 32.063629], [118.763941, 32.063643], [118.763936, 32.063658], [118.763931, 32.063681], [118.763929, 32.063704], [118.763929, 32.063716], [118.763932, 32.063727], [118.763935, 32.063739], [118.763947, 32.063758], [118.763961, 32.063776], [118.76398, 32.063792], [118.764001, 32.063804], [118.764024, 32.063813], [118.764049, 32.063819], [118.764074, 32.063821], [118.764083, 32.06382], [118.764091, 32.063819], [118.764099, 32.063816], [118.764106, 32.063812], [118.764113, 32.063807]]]"
2701,DIKUAI_2023_2823,2823,Polygon,EPSG:4326 (WGS84经纬度),2379.47,118.770329,118.770883,32.067344,32.06793,"[[[118.770543, 32.06793], [118.770883, 32.067629], [118.770533, 32.067344], [118.770427, 32.067557], [118.7704, 32.067614], [118.770348, 32.067723], [118.770329, 32.067754], [118.770543, 32.06793]]]"
2702,DIKUAI_2023_2824,2824,Polygon,EPSG:4326 (WGS84经纬度),1687.72,118.765596,118.76608,32.064688,32.065149,"[[[118.765941, 32.065149], [118.765952, 32.065139], [118.765967, 32.065142], [118.765979, 32.065141], [118.765993, 32.065127], [118.766007, 32.065114], [118.76603, 32.065092], [118.766049, 32.065068], [118.766062, 32.065041], [118.766071, 32.065013], [118.766074, 32.064984], [118.76608, 32.064952], [118.765858, 32.064688], [118.765596, 32.064864], [118.765783, 32.065026], [118.765869, 32.065087], [118.765941, 32.065149]]]"
2703,DIKUAI_2023_2825,2825,Polygon,EPSG:4326 (WGS84经纬度),19303.26,118.759826,118.76199,32.061223,32.062159,"[[[118.759972, 32.062159], [118.761918, 32.061843], [118.76193, 32.061841], [118.761942, 32.061837], [118.761953, 32.061832], [118.761963, 32.061826], [118.761972, 32.061818], [118.761979, 32.061809], [118.761984, 32.061799], [118.761988, 32.061789], [118.76199, 32.061779], [118.761989, 32.061768], [118.761952, 32.061592], [118.761904, 32.061383], [118.761875, 32.061262], [118.761864, 32.061251], [118.761852, 32.061241], [118.761839, 32.061233], [118.761823, 32.061227], [118.761807, 32.061223], [118.761755, 32.061223], [118.761683, 32.061235], [118.761372, 32.061288], [118.761119, 32.061322], [118.760728, 32.061383], [118.76014, 32.061478], [118.759941, 32.06151], [118.759826, 32.061529], [118.759972, 32.062159]]]"
2704,DIKUAI_2023_2826,2826,Polygon,EPSG:4326 (WGS84经纬度),4957.77,118.781122,118.781634,32.072454,32.073249,"[[[118.781501, 32.073249], [118.78155, 32.072984], [118.781634, 32.072524], [118.781122, 32.072454], [118.781126, 32.073249], [118.781501, 32.073249]]]"
2705,DIKUAI_2023_2827,2827,Polygon,EPSG:4326 (WGS84经纬度),4209.19,118.774662,118.775133,32.069614,32.070303,"[[[118.775107, 32.070303], [118.775133, 32.069843], [118.775131, 32.069785], [118.775117, 32.069678], [118.775115, 32.06967], [118.775111, 32.069664], [118.775107, 32.069657], [118.775101, 32.069652], [118.775094, 32.069647], [118.775087, 32.069644], [118.775079, 32.069641], [118.77507, 32.06964], [118.775046, 32.069638], [118.775022, 32.069633], [118.774881, 32.069622], [118.7748, 32.069616], [118.774754, 32.069614], [118.774749, 32.069614], [118.774745, 32.069614], [118.77474, 32.069616], [118.774736, 32.069617], [118.774733, 32.06962], [118.77473, 32.069622], [118.774727, 32.069626], [118.774725, 32.069629], [118.774724, 32.069637], [118.774715, 32.069813], [118.774688, 32.069865], [118.774673, 32.070105], [118.774662, 32.070284], [118.775107, 32.070303]]]"
2706,DIKUAI_2023_2828,2828,Polygon,EPSG:4326 (WGS84经纬度),278265.73,118.745946,118.752447,32.04886,32.055135,"[[[118.751039, 32.053976], [118.751607, 32.053965], [118.751743, 32.053237], [118.751755, 32.053159], [118.751248, 32.053111], [118.751186, 32.051964], [118.751332, 32.051957], [118.751129, 32.050341], [118.75168, 32.049886], [118.752188, 32.049729], [118.752447, 32.049467], [118.751645, 32.04886], [118.751335, 32.049053], [118.751021, 32.049265], [118.750532, 32.049599], [118.750596, 32.049747], [118.750066, 32.049972], [118.749844, 32.05011], [118.749657, 32.050238], [118.749015, 32.050769], [118.748043, 32.051624], [118.747761, 32.051882], [118.747285, 32.052306], [118.746793, 32.052711], [118.746694, 32.052793], [118.745946, 32.053448], [118.747216, 32.054347], [118.747322, 32.054376], [118.748298, 32.054644], [118.749677, 32.055135], [118.750776, 32.055], [118.750995, 32.054497], [118.751039, 32.053976]]]"
2707,DIKUAI_2023_2829,2829,Polygon,EPSG:4326 (WGS84经纬度),648101.6,118.750958,118.759017,32.053613,32.061099,"[[[118.75837, 32.056779], [118.758338, 32.056668], [118.757946, 32.056866], [118.757098, 32.056871], [118.757109, 32.056422], [118.757016, 32.05614], [118.757134, 32.056115], [118.757068, 32.055985], [118.757008, 32.055787], [118.757219, 32.055737], [118.757136, 32.055411], [118.75702, 32.055006], [118.757823, 32.054916], [118.757826, 32.054813], [118.757835, 32.05471], [118.757852, 32.054608], [118.757875, 32.054506], [118.757905, 32.054406], [118.758113, 32.053792], [118.757147, 32.053858], [118.756462, 32.053905], [118.754261, 32.054301], [118.754033, 32.053613], [118.752097, 32.053671], [118.751975, 32.054341], [118.751797, 32.055348], [118.751625, 32.056355], [118.751527, 32.056943], [118.751143, 32.05871], [118.750958, 32.060703], [118.752165, 32.060808], [118.752567, 32.060447], [118.753185, 32.060551], [118.753783, 32.059824], [118.755512, 32.060288], [118.756069, 32.060438], [118.756111, 32.060311], [118.756665, 32.060471], [118.757426, 32.060711], [118.758296, 32.060948], [118.758655, 32.061092], [118.759017, 32.061099], [118.758972, 32.060251], [118.758914, 32.059051], [118.758904, 32.058906], [118.758888, 32.058762], [118.758865, 32.058618], [118.758836, 32.058476], [118.758802, 32.058334], [118.758761, 32.058193], [118.758615, 32.057731], [118.75847, 32.057269], [118.758423, 32.057036], [118.75837, 32.056779]]]"
2708,DIKUAI_2023_2830,2830,Polygon,EPSG:4326 (WGS84经纬度),975.14,118.776439,118.776664,32.070821,32.071162,"[[[118.776627, 32.071144], [118.776631, 32.071138], [118.776639, 32.071106], [118.776642, 32.071073], [118.776664, 32.07083], [118.776457, 32.070821], [118.776449, 32.070977], [118.776439, 32.071155], [118.776572, 32.07116], [118.776579, 32.071162], [118.776587, 32.071162], [118.776595, 32.071162], [118.776603, 32.07116], [118.77661, 32.071157], [118.776617, 32.071154], [118.776623, 32.071149], [118.776627, 32.071144]]]"
2709,DIKUAI_2023_2831,2831,Polygon,EPSG:4326 (WGS84经纬度),1916.69,118.770611,118.771328,32.068002,32.068385,"[[[118.770947, 32.068385], [118.770967, 32.068323], [118.770988, 32.06826], [118.771007, 32.068255], [118.771019, 32.068214], [118.771197, 32.068226], [118.771225, 32.068133], [118.771312, 32.068141], [118.77132, 32.068101], [118.771328, 32.068055], [118.771024, 32.068011], [118.770955, 32.068002], [118.770611, 32.0683], [118.77077, 32.06834], [118.770872, 32.068366], [118.770947, 32.068385]]]"
2710,DIKUAI_2023_2832,2832,Polygon,EPSG:4326 (WGS84经纬度),21890.24,118.762071,118.763851,32.062635,32.064279,"[[[118.763369, 32.064277], [118.763382, 32.064274], [118.763835, 32.063879], [118.76384, 32.063873], [118.763845, 32.063867], [118.763848, 32.06386], [118.76385, 32.063853], [118.763851, 32.063846], [118.76385, 32.063838], [118.763848, 32.063831], [118.763822, 32.063791], [118.763809, 32.06375], [118.763802, 32.063722], [118.7638, 32.063693], [118.763803, 32.063664], [118.763811, 32.063636], [118.763823, 32.063609], [118.763846, 32.063571], [118.763848, 32.063564], [118.763849, 32.063556], [118.763848, 32.063549], [118.763846, 32.063542], [118.763843, 32.063535], [118.763839, 32.063529], [118.763834, 32.063523], [118.763481, 32.063227], [118.763176, 32.062971], [118.762969, 32.062798], [118.762779, 32.062638], [118.762777, 32.062637], [118.762776, 32.062636], [118.762775, 32.062636], [118.762773, 32.062635], [118.762771, 32.062635], [118.76277, 32.062636], [118.762768, 32.062636], [118.762767, 32.062637], [118.762765, 32.062637], [118.762764, 32.062638], [118.762753, 32.062648], [118.762712, 32.062647], [118.762703, 32.06265], [118.762088, 32.063181], [118.762082, 32.063188], [118.762077, 32.063196], [118.762073, 32.063204], [118.762071, 32.063213], [118.762071, 32.063222], [118.762073, 32.06323], [118.762076, 32.063239], [118.762088, 32.063252], [118.762276, 32.063404], [118.762525, 32.063613], [118.762993, 32.064005], [118.763297, 32.06426], [118.763307, 32.064267], [118.763318, 32.064273], [118.76333, 32.064276], [118.763343, 32.064279], [118.763356, 32.064279], [118.763369, 32.064277]]]"
2711,DIKUAI_2023_2833,2833,Polygon,EPSG:4326 (WGS84经纬度),14686.45,118.77749,118.778844,32.071364,32.072243,"[[[118.778844, 32.072243], [118.778838, 32.071552], [118.778817, 32.071461], [118.778744, 32.071426], [118.778538, 32.071405], [118.777512, 32.071364], [118.77749, 32.071768], [118.777762, 32.071783], [118.777744, 32.072215], [118.778844, 32.072243]]]"
2712,DIKUAI_2023_2834,2834,Polygon,EPSG:4326 (WGS84经纬度),32702.22,118.772524,118.773925,32.067921,32.071012,"[[[118.772615, 32.070997], [118.772978, 32.071012], [118.77299, 32.070826], [118.773054, 32.070829], [118.773073, 32.070536], [118.77314, 32.070544], [118.773237, 32.070246], [118.773354, 32.069883], [118.773523, 32.069889], [118.773656, 32.069585], [118.773667, 32.069561], [118.773736, 32.069402], [118.773925, 32.068971], [118.773925, 32.06897], [118.773675, 32.068891], [118.773743, 32.068682], [118.773838, 32.068387], [118.773904, 32.068184], [118.773646, 32.067962], [118.773626, 32.067947], [118.773602, 32.067935], [118.773577, 32.067926], [118.77355, 32.067922], [118.773523, 32.067921], [118.773496, 32.067924], [118.77347, 32.067932], [118.773446, 32.067943], [118.773425, 32.067957], [118.773177, 32.068192], [118.773144, 32.068223], [118.773097, 32.068266], [118.773079, 32.068289], [118.773076, 32.0683], [118.772922, 32.068923], [118.772899, 32.06903], [118.77287, 32.069125], [118.772842, 32.069233], [118.772803, 32.069352], [118.772765, 32.069467], [118.772755, 32.069517], [118.772733, 32.069596], [118.772709, 32.069699], [118.772698, 32.069731], [118.772694, 32.069743], [118.77265, 32.069905], [118.772642, 32.069958], [118.772614, 32.070104], [118.772563, 32.070479], [118.77256, 32.070498], [118.772524, 32.070928], [118.772526, 32.07094], [118.772531, 32.070952], [118.772539, 32.070963], [118.772548, 32.070973], [118.772559, 32.070982], [118.772572, 32.070988], [118.772586, 32.070993], [118.7726, 32.070996], [118.772615, 32.070997]]]"
2713,DIKUAI_2023_2835,2835,Polygon,EPSG:4326 (WGS84经纬度),6988.08,118.775319,118.775882,32.070173,32.071131,"[[[118.775833, 32.071131], [118.775882, 32.070193], [118.775494, 32.070178], [118.77537, 32.070173], [118.775321, 32.070926], [118.775319, 32.070998], [118.775347, 32.071031], [118.77538, 32.07106], [118.775418, 32.071083], [118.775461, 32.071102], [118.775506, 32.071114], [118.775553, 32.07112], [118.775833, 32.071131]]]"
2714,DIKUAI_2023_2836,2836,Polygon,EPSG:4326 (WGS84经纬度),4839.38,118.76868,118.769716,32.067114,32.06771,"[[[118.769094, 32.06771], [118.769302, 32.06753], [118.769317, 32.067543], [118.769716, 32.067199], [118.769697, 32.067183], [118.76868, 32.067114], [118.76868, 32.067161], [118.768718, 32.067341], [118.768747, 32.067378], [118.768797, 32.067408], [118.768853, 32.067429], [118.768899, 32.067445], [118.768959, 32.067531], [118.768959, 32.067592], [118.769094, 32.06771]]]"
2715,DIKUAI_2023_2837,2837,Polygon,EPSG:4326 (WGS84经纬度),1071.16,118.776029,118.776449,32.07096,32.071155,"[[[118.776439, 32.071155], [118.776449, 32.070977], [118.776039, 32.07096], [118.776029, 32.071139], [118.776439, 32.071155]]]"
2716,DIKUAI_2023_2838,2838,Polygon,EPSG:4326 (WGS84经纬度),24763.26,118.779041,118.781122,32.072315,32.073252,"[[[118.779041, 32.072315], [118.77905, 32.073166], [118.77972, 32.073164], [118.779717, 32.073251], [118.781122, 32.073252], [118.781122, 32.072455], [118.77987, 32.072416], [118.779041, 32.072315]]]"
2717,DIKUAI_2023_2839,2839,Polygon,EPSG:4326 (WGS84经纬度),17480.88,118.768962,118.770543,32.067094,32.068481,"[[[118.769921, 32.068481], [118.770543, 32.06793], [118.770329, 32.067754], [118.770348, 32.067723], [118.7704, 32.067614], [118.770427, 32.067557], [118.770398, 32.067537], [118.770328, 32.067453], [118.770218, 32.067377], [118.770229, 32.067285], [118.770095, 32.067178], [118.769844, 32.067094], [118.769818, 32.067111], [118.769716, 32.067199], [118.769317, 32.067543], [118.769302, 32.06753], [118.769094, 32.06771], [118.769105, 32.06772], [118.769094, 32.067729], [118.768962, 32.067845], [118.768984, 32.067862], [118.769094, 32.067954], [118.769127, 32.067925], [118.769693, 32.068397], [118.769754, 32.068344], [118.769921, 32.068481]]]"
2718,DIKUAI_2023_2840,2840,Polygon,EPSG:4326 (WGS84经纬度),33959.41,118.773054,118.774731,32.068798,32.070899,"[[[118.774605, 32.070689], [118.774605, 32.070631], [118.774628, 32.07021], [118.77464, 32.069972], [118.774648, 32.06984], [118.774653, 32.069767], [118.774671, 32.069692], [118.774681, 32.069546], [118.774698, 32.069495], [118.774706, 32.069486], [118.774718, 32.069341], [118.774728, 32.069108], [118.774731, 32.069091], [118.774456, 32.068987], [118.774475, 32.068951], [118.774216, 32.068852], [118.774161, 32.068832], [118.774161, 32.068832], [118.774148, 32.068856], [118.774001, 32.068798], [118.773925, 32.06897], [118.773925, 32.068971], [118.773736, 32.069402], [118.773667, 32.069561], [118.773656, 32.069585], [118.773523, 32.069889], [118.773354, 32.069883], [118.773237, 32.070246], [118.77314, 32.070544], [118.773073, 32.070536], [118.773054, 32.070829], [118.774482, 32.070899], [118.774488, 32.070873], [118.774495, 32.070859], [118.774551, 32.070802], [118.774581, 32.070767], [118.774599, 32.070744], [118.774605, 32.070725], [118.774605, 32.070689]]]"
2719,DIKUAI_2023_2841,2841,Polygon,EPSG:4326 (WGS84经纬度),6174.66,118.771963,118.772773,32.068589,32.069671,"[[[118.772233, 32.069671], [118.772285, 32.069523], [118.772613, 32.069606], [118.772689, 32.069299], [118.77274, 32.069079], [118.772773, 32.068904], [118.772766, 32.068827], [118.772752, 32.06875], [118.772714, 32.068596], [118.77271, 32.068589], [118.772408, 32.068914], [118.772164, 32.069245], [118.772021, 32.069482], [118.771963, 32.069602], [118.772233, 32.069671]]]"
2720,DIKUAI_2023_2842,2842,Polygon,EPSG:4326 (WGS84经纬度),98637.11,118.791178,118.797577,32.076273,32.079272,"[[[118.794423, 32.079272], [118.794555, 32.07927], [118.794632, 32.079261], [118.795337, 32.079074], [118.795971, 32.078869], [118.796274, 32.078667], [118.796415, 32.07842], [118.796472, 32.078238], [118.796602, 32.07815], [118.796963, 32.077965], [118.797533, 32.07777], [118.797573, 32.077754], [118.797577, 32.077707], [118.797573, 32.077694], [118.797541, 32.077597], [118.797507, 32.077577], [118.797468, 32.077591], [118.797126, 32.077702], [118.796658, 32.077836], [118.796417, 32.077891], [118.796332, 32.077888], [118.796265, 32.077877], [118.795982, 32.077598], [118.79567, 32.07729], [118.795368, 32.076989], [118.795069, 32.076823], [118.794803, 32.076724], [118.794674, 32.076707], [118.794441, 32.076712], [118.794186, 32.076799], [118.794081, 32.076273], [118.794018, 32.076279], [118.794042, 32.076501], [118.793955, 32.076543], [118.793991, 32.076677], [118.794077, 32.076649], [118.794151, 32.076841], [118.793682, 32.077108], [118.793064, 32.077471], [118.792934, 32.077569], [118.792876, 32.077752], [118.792838, 32.077935], [118.792825, 32.077955], [118.792222, 32.078046], [118.79183, 32.078105], [118.791261, 32.078212], [118.791197, 32.078222], [118.791178, 32.078258], [118.791225, 32.078345], [118.791228, 32.078348], [118.791242, 32.078367], [118.791271, 32.078382], [118.791324, 32.078377], [118.791757, 32.078311], [118.792289, 32.078209], [118.792814, 32.078141], [118.792942, 32.078152], [118.793074, 32.078193], [118.793192, 32.078283], [118.793848, 32.078889], [118.794151, 32.079146], [118.794423, 32.079272]]]"
2721,DIKUAI_2023_2843,2843,Polygon,EPSG:4326 (WGS84经纬度),4648.67,118.776695,118.777512,32.071332,32.071768,"[[[118.77749, 32.071768], [118.777512, 32.071364], [118.776781, 32.071335], [118.776719, 32.071332], [118.776695, 32.071726], [118.77749, 32.071768]]]"
2722,DIKUAI_2023_2844,2844,Polygon,EPSG:4326 (WGS84经纬度),12699.2,118.770818,118.772282,32.068484,32.069474,"[[[118.771868, 32.069474], [118.771911, 32.069381], [118.772007, 32.069206], [118.772282, 32.068817], [118.771993, 32.068714], [118.771781, 32.068663], [118.771543, 32.06861], [118.771114, 32.068511], [118.771073, 32.0685], [118.771012, 32.068484], [118.770818, 32.069158], [118.770927, 32.069175], [118.771868, 32.069474]]]"
